A wojel tu'ux u taal	Ma' a wojel tu'ux u taali'	TYPE:NEG;SUBTYPE:DEC
Teche' a jatsmajabáaj	Leti'e' u jatsmajubáaj	PERSON:3_SI
Teche' a jatsmajabáaj	To'one' k jatsmajekbáaj	PERSON:1_PL
Teche' a jatsmajabáaj	Te'exe' a jatsmajaba'ex	PERSON:2_PL
Teche' a jatsmajabáaj	Leti'obe' u jatsmajuba'ob	PERSON:3_PL
Leti'e' u jatsmajubáaj	Teche' a jatsmajabáaj	PERSON:2_SI
Leti'e' u jatsmajubáaj	To'one' k jatsmajekbáaj	PERSON:1_PL
Leti'e' u jatsmajubáaj	Te'exe' a jatsmajaba'ex	PERSON:2_PL
Leti'e' u jatsmajubáaj	Leti'obe' u jatsmajuba'ob	PERSON:3_PL
To'one' k jatsmajekbáaj	Teche' a jatsmajabáaj	PERSON:2_SI
To'one' k jatsmajekbáaj	Leti'e' u jatsmajubáaj	PERSON:3_SI
To'one' k jatsmajekbáaj	Te'exe' a jatsmajaba'ex	PERSON:2_PL
To'one' k jatsmajekbáaj	Leti'obe' u jatsmajuba'ob	PERSON:3_PL
Te'exe' a jatsmajaba'ex	Teche' a jatsmajabáaj	PERSON:2_SI
Te'exe' a jatsmajaba'ex	Leti'e' u jatsmajubáaj	PERSON:3_SI
Te'exe' a jatsmajaba'ex	To'one' k jatsmajekbáaj	PERSON:1_PL
Te'exe' a jatsmajaba'ex	Leti'obe' u jatsmajuba'ob	PERSON:3_PL
Leti'obe' u jatsmajuba'ob	Teche' a jatsmajabáaj	PERSON:2_SI
Leti'obe' u jatsmajuba'ob	Leti'e' u jatsmajubáaj	PERSON:3_SI
Leti'obe' u jatsmajuba'ob	To'one' k jatsmajekbáaj	PERSON:1_PL
Leti'obe' u jatsmajuba'ob	Te'exe' a jatsmajaba'ex	PERSON:2_PL
Teche' a k'aaba'e'	Leti'e' u k'aaba'e'	ASPECT:HAB;PERSON:3_SI
Teche' a k'aaba'e'	To'one' k k'aaba'e'	ASPECT:HAB;PERSON:1_PL
Teche' a k'aaba'e'	To'one' in k'aaba'one'	ASPECT:HAB;PERSON:1_PL
Teche' a k'aaba'e'	Te'exe' a k'aaba'exe'	ASPECT:HAB;PERSON:2_PL
Teche' a k'aaba'e'	Leti'obe' u k'aaba'obe'	ASPECT:HAB;PERSON:3_PL
Leti'e' u k'aaba'e'	Teche' a k'aaba'e'	ASPECT:HAB;PERSON:2_SI
Leti'e' u k'aaba'e'	To'one' k k'aaba'e'	ASPECT:HAB;PERSON:1_PL
Leti'e' u k'aaba'e'	To'one' in k'aaba'one'	ASPECT:HAB;PERSON:1_PL
Leti'e' u k'aaba'e'	Te'exe' a k'aaba'exe'	ASPECT:HAB;PERSON:2_PL
Leti'e' u k'aaba'e'	Leti'obe' u k'aaba'obe'	ASPECT:HAB;PERSON:3_PL
To'one' k k'aaba'e'	Teche' a k'aaba'e'	ASPECT:HAB;PERSON:2_SI
To'one' k k'aaba'e'	Leti'e' u k'aaba'e'	ASPECT:HAB;PERSON:3_SI
To'one' k k'aaba'e'	To'one' in k'aaba'one'	ASPECT:HAB;PERSON:1_PL
To'one' k k'aaba'e'	Te'exe' a k'aaba'exe'	ASPECT:HAB;PERSON:2_PL
To'one' k k'aaba'e'	Leti'obe' u k'aaba'obe'	ASPECT:HAB;PERSON:3_PL
To'one' in k'aaba'one'	Teche' a k'aaba'e'	ASPECT:HAB;PERSON:2_SI
To'one' in k'aaba'one'	Leti'e' u k'aaba'e'	ASPECT:HAB;PERSON:3_SI
To'one' in k'aaba'one'	To'one' k k'aaba'e'	ASPECT:HAB;PERSON:1_PL
To'one' in k'aaba'one'	Te'exe' a k'aaba'exe'	ASPECT:HAB;PERSON:2_PL
To'one' in k'aaba'one'	Leti'obe' u k'aaba'obe'	ASPECT:HAB;PERSON:3_PL
Te'exe' a k'aaba'exe'	Teche' a k'aaba'e'	ASPECT:HAB;PERSON:2_SI
Te'exe' a k'aaba'exe'	Leti'e' u k'aaba'e'	ASPECT:HAB;PERSON:3_SI
Te'exe' a k'aaba'exe'	To'one' k k'aaba'e'	ASPECT:HAB;PERSON:1_PL
Te'exe' a k'aaba'exe'	To'one' in k'aaba'one'	ASPECT:HAB;PERSON:1_PL
Te'exe' a k'aaba'exe'	Leti'obe' u k'aaba'obe'	ASPECT:HAB;PERSON:3_PL
Leti'obe' u k'aaba'obe'	Teche' a k'aaba'e'	ASPECT:HAB;PERSON:2_SI
Leti'obe' u k'aaba'obe'	Leti'e' u k'aaba'e'	ASPECT:HAB;PERSON:3_SI
Leti'obe' u k'aaba'obe'	To'one' k k'aaba'e'	ASPECT:HAB;PERSON:1_PL
Leti'obe' u k'aaba'obe'	To'one' in k'aaba'one'	ASPECT:HAB;PERSON:1_PL
Leti'obe' u k'aaba'obe'	Te'exe' a k'aaba'exe'	ASPECT:HAB;PERSON:2_PL
Teche' jbúulech	Leti'e' jbúulij	PERSON:3_SI
Teche' jbúulech	To'one' jbúulo'on	PERSON:1_PL
Teche' jbúulech	Te'exe' jbúule'ex	PERSON:2_PL
Leti'e' jbúulij	Teche' jbúulech	PERSON:2_SI
Leti'e' jbúulij	To'one' jbúulo'on	PERSON:1_PL
Leti'e' jbúulij	Te'exe' jbúule'ex	PERSON:2_PL
To'one' jbúulo'on	Teche' jbúulech	PERSON:2_SI
To'one' jbúulo'on	Leti'e' jbúulij	PERSON:3_SI
To'one' jbúulo'on	Te'exe' jbúule'ex	PERSON:2_PL
Te'exe' jbúule'ex	Teche' jbúulech	PERSON:2_SI
Te'exe' jbúule'ex	Leti'e' jbúulij	PERSON:3_SI
Te'exe' jbúule'ex	To'one' jbúulo'on	PERSON:1_PL
Teche' kajakbalech weye'	Leti'e' kajakbal weye'	PERSON:3_SI
Teche' kajakbalech weye'	To'one' kajakbalo'on weye'	PERSON:1_PL
Teche' kajakbalech weye'	Te'exe' kajakbale'ex weye'	PERSON:2_PL
Teche' kajakbalech weye'	Leti'obe' kajakbalo'ob weye'	PERSON:3_PL
Leti'e' kajakbal weye'	Teche' kajakbalech weye'	PERSON:2_SI
Leti'e' kajakbal weye'	To'one' kajakbalo'on weye'	PERSON:1_PL
Leti'e' kajakbal weye'	Te'exe' kajakbale'ex weye'	PERSON:2_PL
Leti'e' kajakbal weye'	Leti'obe' kajakbalo'ob weye'	PERSON:3_PL
To'one' kajakbalo'on weye'	Teche' kajakbalech weye'	PERSON:2_SI
To'one' kajakbalo'on weye'	Leti'e' kajakbal weye'	PERSON:3_SI
To'one' kajakbalo'on weye'	Te'exe' kajakbale'ex weye'	PERSON:2_PL
To'one' kajakbalo'on weye'	Leti'obe' kajakbalo'ob weye'	PERSON:3_PL
Te'exe' kajakbale'ex weye'	Teche' kajakbalech weye'	PERSON:2_SI
Te'exe' kajakbale'ex weye'	Leti'e' kajakbal weye'	PERSON:3_SI
Te'exe' kajakbale'ex weye'	To'one' kajakbalo'on weye'	PERSON:1_PL
Te'exe' kajakbale'ex weye'	Leti'obe' kajakbalo'ob weye'	PERSON:3_PL
Leti'obe' kajakbalo'ob weye'	Teche' kajakbalech weye'	PERSON:2_SI
Leti'obe' kajakbalo'ob weye'	Leti'e' kajakbal weye'	PERSON:3_SI
Leti'obe' kajakbalo'ob weye'	To'one' kajakbalo'on weye'	PERSON:1_PL
Leti'obe' kajakbalo'ob weye'	Te'exe' kajakbale'ex weye'	PERSON:2_PL
Teche' ka bin paak'áal ich kool	Leti'e' ku bin paak'áal ich kool	PERSON:3_SI
Teche' ka bin paak'áal ich kool	To'one' kek bin paak'áal ich kool	PERSON:1_PL
Teche' ka bin paak'áal ich kool	Te'exe' ka taale'ex paak'áal ich kool	PERSON:2_PL
Leti'e' ku bin paak'áal ich kool	Teche' ka bin paak'áal ich kool	PERSON:2_SI
Leti'e' ku bin paak'áal ich kool	To'one' kek bin paak'áal ich kool	PERSON:1_PL
Leti'e' ku bin paak'áal ich kool	Te'exe' ka taale'ex paak'áal ich kool	PERSON:2_PL
To'one' kek bin paak'áal ich kool	Teche' ka bin paak'áal ich kool	PERSON:2_SI
To'one' kek bin paak'áal ich kool	Leti'e' ku bin paak'áal ich kool	PERSON:3_SI
To'one' kek bin paak'áal ich kool	Te'exe' ka taale'ex paak'áal ich kool	PERSON:2_PL
Te'exe' ka taale'ex paak'áal ich kool	Teche' ka bin paak'áal ich kool	PERSON:2_SI
Te'exe' ka taale'ex paak'áal ich kool	Leti'e' ku bin paak'áal ich kool	PERSON:3_SI
Te'exe' ka taale'ex paak'áal ich kool	To'one' kek bin paak'áal ich kool	PERSON:1_PL
Teche' ka bin páak ich kool	Leti'e' ku bin páak ich kool	PERSON:3_SI
Teche' ka bin páak ich kool	To'one kek bin páak ich kool	PERSON:1_PL
Teche' ka bin páak ich kool	Te'exe' ka bine'ex páak tu kool	PERSON:2_PL
Leti'e' ku bin páak ich kool	Teche' ka bin páak ich kool	PERSON:2_SI
Leti'e' ku bin páak ich kool	To'one kek bin páak ich kool	PERSON:1_PL
Leti'e' ku bin páak ich kool	Te'exe' ka bine'ex páak tu kool	PERSON:2_PL
To'one kek bin páak ich kool	Teche' ka bin páak ich kool	PERSON:2_SI
To'one kek bin páak ich kool	Leti'e' ku bin páak ich kool	PERSON:3_SI
To'one kek bin páak ich kool	Te'exe' ka bine'ex páak tu kool	PERSON:2_PL
Te'exe' ka bine'ex páak tu kool	Teche' ka bin páak ich kool	PERSON:2_SI
Te'exe' ka bine'ex páak tu kool	Leti'e' ku bin páak ich kool	PERSON:3_SI
Te'exe' ka bine'ex páak tu kool	To'one kek bin páak ich kool	PERSON:1_PL
Leti'e' ku bin xíimbal ta wotoch	Leti'e' ku bin xíimbal ta wotoch	PERSON:3_SI
Leti'e' ku bin xíimbal ta wotoch	To'one' kek bin xíimbal ta wotoch	PERSON:1_PL
Leti'e' ku bin xíimbal ta wotoch	Leti'e' ku bin xíimbal ta wotoch	PERSON:3_SI
Leti'e' ku bin xíimbal ta wotoch	To'one' kek bin xíimbal ta wotoch	PERSON:1_PL
To'one' kek bin xíimbal ta wotoch	Leti'e' ku bin xíimbal ta wotoch	PERSON:3_SI
To'one' kek bin xíimbal ta wotoch	Leti'e' ku bin xíimbal ta wotoch	PERSON:3_SI
Teche' ka báaxal paarkée	Leti'e' ku báaxal paarkée	PERSON:3_SI
Teche' ka báaxal paarkée	To'one' k báaxal paarkée	PERSON:1_PL
Teche' ka báaxal paarkée	Te'exe' ka báaxale'ex paarkée	PERSON:2_PL
Teche' ka báaxal paarkée	Leti'obe' ku báaxalo'ob paarkée	PERSON:3_PL
Leti'e' ku báaxal paarkée	Teche' ka báaxal paarkée	PERSON:2_SI
Leti'e' ku báaxal paarkée	To'one' k báaxal paarkée	PERSON:1_PL
Leti'e' ku báaxal paarkée	Te'exe' ka báaxale'ex paarkée	PERSON:2_PL
Leti'e' ku báaxal paarkée	Leti'obe' ku báaxalo'ob paarkée	PERSON:3_PL
To'one' k báaxal paarkée	Teche' ka báaxal paarkée	PERSON:2_SI
To'one' k báaxal paarkée	Leti'e' ku báaxal paarkée	PERSON:3_SI
To'one' k báaxal paarkée	Te'exe' ka báaxale'ex paarkée	PERSON:2_PL
To'one' k báaxal paarkée	Leti'obe' ku báaxalo'ob paarkée	PERSON:3_PL
Te'exe' ka báaxale'ex paarkée	Teche' ka báaxal paarkée	PERSON:2_SI
Te'exe' ka báaxale'ex paarkée	Leti'e' ku báaxal paarkée	PERSON:3_SI
Te'exe' ka báaxale'ex paarkée	To'one' k báaxal paarkée	PERSON:1_PL
Te'exe' ka báaxale'ex paarkée	Leti'obe' ku báaxalo'ob paarkée	PERSON:3_PL
Leti'obe' ku báaxalo'ob paarkée	Teche' ka báaxal paarkée	PERSON:2_SI
Leti'obe' ku báaxalo'ob paarkée	Leti'e' ku báaxal paarkée	PERSON:3_SI
Leti'obe' ku báaxalo'ob paarkée	To'one' k báaxal paarkée	PERSON:1_PL
Leti'obe' ku báaxalo'ob paarkée	Te'exe' ka báaxale'ex paarkée	PERSON:2_PL
Teche' ka báaxal tu naajil xook	leti'e ku báaxal tu naajil xook	PERSON:3_SI
Teche' ka báaxal tu naajil xook	to'one' k báaxal tu naajil xook	PERSON:1_PL
Teche' ka báaxal tu naajil xook	te'exe' ka báaxale'ex tu naajil xook	PERSON:2_PL
leti'e ku báaxal tu naajil xook	Teche' ka báaxal tu naajil xook	PERSON:2_SI
leti'e ku báaxal tu naajil xook	to'one' k báaxal tu naajil xook	PERSON:1_PL
leti'e ku báaxal tu naajil xook	te'exe' ka báaxale'ex tu naajil xook	PERSON:2_PL
to'one' k báaxal tu naajil xook	Teche' ka báaxal tu naajil xook	PERSON:2_SI
to'one' k báaxal tu naajil xook	leti'e ku báaxal tu naajil xook	PERSON:3_SI
to'one' k báaxal tu naajil xook	te'exe' ka báaxale'ex tu naajil xook	PERSON:2_PL
te'exe' ka báaxale'ex tu naajil xook	Teche' ka báaxal tu naajil xook	PERSON:2_SI
te'exe' ka báaxale'ex tu naajil xook	leti'e ku báaxal tu naajil xook	PERSON:3_SI
te'exe' ka báaxale'ex tu naajil xook	to'one' k báaxal tu naajil xook	PERSON:1_PL
Teche' ma' jbúulechi'	Leti'e' ma' jbúuli'	PERSON:3_SI
Teche' ma' jbúulechi'	To'one' ma' jbúulo'oni'	PERSON:1_PL
Teche' ma' jbúulechi'	Te'exe' ma' jbúule'exi'	PERSON:2_PL
Leti'e' ma' jbúuli'	Teche' ma' jbúulechi'	PERSON:2_SI
Leti'e' ma' jbúuli'	To'one' ma' jbúulo'oni'	PERSON:1_PL
Leti'e' ma' jbúuli'	Te'exe' ma' jbúule'exi'	PERSON:2_PL
To'one' ma' jbúulo'oni'	Teche' ma' jbúulechi'	PERSON:2_SI
To'one' ma' jbúulo'oni'	Leti'e' ma' jbúuli'	PERSON:3_SI
To'one' ma' jbúulo'oni'	Te'exe' ma' jbúule'exi'	PERSON:2_PL
Te'exe' ma' jbúule'exi'	Teche' ma' jbúulechi'	PERSON:2_SI
Te'exe' ma' jbúule'exi'	Leti'e' ma' jbúuli'	PERSON:3_SI
Te'exe' ma' jbúule'exi'	To'one' ma' jbúulo'oni'	PERSON:1_PL
Teche' ti' a taali'	Leti'e' ti' u taali'	PERSON:3_SI
Teche' ti' a taali'	To'one' ti' k taali'	PERSON:1_PL
Teche' ti' a taali'	To'one' ti' in taalo'oni'	PERSON:1_PL
Teche' ti' a taali'	Te'exe' ti' a taale'exi'	PERSON:2_PL
Teche' ti' a taali'	Leti'obe' ti' u taalo'obi'	PERSON:3_PL
Leti'e' ti' u taali'	Teche' ti' a taali'	PERSON:2_SI
Leti'e' ti' u taali'	To'one' ti' k taali'	PERSON:1_PL
Leti'e' ti' u taali'	To'one' ti' in taalo'oni'	PERSON:1_PL
Leti'e' ti' u taali'	Te'exe' ti' a taale'exi'	PERSON:2_PL
Leti'e' ti' u taali'	Leti'obe' ti' u taalo'obi'	PERSON:3_PL
To'one' ti' k taali'	Teche' ti' a taali'	PERSON:2_SI
To'one' ti' k taali'	Leti'e' ti' u taali'	PERSON:3_SI
To'one' ti' k taali'	To'one' ti' in taalo'oni'	PERSON:1_PL
To'one' ti' k taali'	Te'exe' ti' a taale'exi'	PERSON:2_PL
To'one' ti' k taali'	Leti'obe' ti' u taalo'obi'	PERSON:3_PL
To'one' ti' in taalo'oni'	Teche' ti' a taali'	PERSON:2_SI
To'one' ti' in taalo'oni'	Leti'e' ti' u taali'	PERSON:3_SI
To'one' ti' in taalo'oni'	To'one' ti' k taali'	PERSON:1_PL
To'one' ti' in taalo'oni'	Te'exe' ti' a taale'exi'	PERSON:2_PL
To'one' ti' in taalo'oni'	Leti'obe' ti' u taalo'obi'	PERSON:3_PL
Te'exe' ti' a taale'exi'	Teche' ti' a taali'	PERSON:2_SI
Te'exe' ti' a taale'exi'	Leti'e' ti' u taali'	PERSON:3_SI
Te'exe' ti' a taale'exi'	To'one' ti' k taali'	PERSON:1_PL
Te'exe' ti' a taale'exi'	To'one' ti' in taalo'oni'	PERSON:1_PL
Te'exe' ti' a taale'exi'	Leti'obe' ti' u taalo'obi'	PERSON:3_PL
Leti'obe' ti' u taalo'obi'	Teche' ti' a taali'	PERSON:2_SI
Leti'obe' ti' u taalo'obi'	Leti'e' ti' u taali'	PERSON:3_SI
Leti'obe' ti' u taalo'obi'	To'one' ti' k taali'	PERSON:1_PL
Leti'obe' ti' u taalo'obi'	To'one' ti' in taalo'oni'	PERSON:1_PL
Leti'obe' ti' u taalo'obi'	Te'exe' ti' a taale'exi'	PERSON:2_PL
Teche' ti' kajakbalech tu yotoche'	Leti'e' ti' kajakbal tu yotoche'	PERSON:3_SI
Teche' ti' kajakbalech tu yotoche'	To'one' ti' kajakbalo'on tu yotoche'	PERSON:1_PL
Teche' ti' kajakbalech tu yotoche'	Te'exe' ti' kajakbale'ex tu yotoche'	PERSON:2_PL
Teche' ti' kajakbalech tu yotoche'	Leti'obe' ti' kajakbalo'ob tu yotoche'	PERSON:3_PL
Leti'e' ti' kajakbal tu yotoche'	Teche' ti' kajakbalech tu yotoche'	PERSON:2_SI
Leti'e' ti' kajakbal tu yotoche'	To'one' ti' kajakbalo'on tu yotoche'	PERSON:1_PL
Leti'e' ti' kajakbal tu yotoche'	Te'exe' ti' kajakbale'ex tu yotoche'	PERSON:2_PL
Leti'e' ti' kajakbal tu yotoche'	Leti'obe' ti' kajakbalo'ob tu yotoche'	PERSON:3_PL
To'one' ti' kajakbalo'on tu yotoche'	Teche' ti' kajakbalech tu yotoche'	PERSON:2_SI
To'one' ti' kajakbalo'on tu yotoche'	Leti'e' ti' kajakbal tu yotoche'	PERSON:3_SI
To'one' ti' kajakbalo'on tu yotoche'	Te'exe' ti' kajakbale'ex tu yotoche'	PERSON:2_PL
To'one' ti' kajakbalo'on tu yotoche'	Leti'obe' ti' kajakbalo'ob tu yotoche'	PERSON:3_PL
Te'exe' ti' kajakbale'ex tu yotoche'	Teche' ti' kajakbalech tu yotoche'	PERSON:2_SI
Te'exe' ti' kajakbale'ex tu yotoche'	Leti'e' ti' kajakbal tu yotoche'	PERSON:3_SI
Te'exe' ti' kajakbale'ex tu yotoche'	To'one' ti' kajakbalo'on tu yotoche'	PERSON:1_PL
Te'exe' ti' kajakbale'ex tu yotoche'	Leti'obe' ti' kajakbalo'ob tu yotoche'	PERSON:3_PL
Leti'obe' ti' kajakbalo'ob tu yotoche'	Teche' ti' kajakbalech tu yotoche'	PERSON:2_SI
Leti'obe' ti' kajakbalo'ob tu yotoche'	Leti'e' ti' kajakbal tu yotoche'	PERSON:3_SI
Leti'obe' ti' kajakbalo'ob tu yotoche'	To'one' ti' kajakbalo'on tu yotoche'	PERSON:1_PL
Leti'obe' ti' kajakbalo'ob tu yotoche'	Te'exe' ti' kajakbale'ex tu yotoche'	PERSON:2_PL
Teche' ts'oka'an wáaj a beel	Leti'e' ts'oka'an wáaj u beel	PERSON:3_SI
Teche' ts'oka'an wáaj a beel	To'one' ts'oka'an wáaj k beel	PERSON:1_PL
Teche' ts'oka'an wáaj a beel	Te'exe' ts'oka'an wáaj a beele'ex	PERSON:2_PL
Teche' ts'oka'an wáaj a beel	Leti'obe' ts'oka'an wáaj u beelo'ob	PERSON:3_PL
Leti'e' ts'oka'an wáaj u beel	Teche' ts'oka'an wáaj a beel	PERSON:2_SI
Leti'e' ts'oka'an wáaj u beel	To'one' ts'oka'an wáaj k beel	PERSON:1_PL
Leti'e' ts'oka'an wáaj u beel	Te'exe' ts'oka'an wáaj a beele'ex	PERSON:2_PL
Leti'e' ts'oka'an wáaj u beel	Leti'obe' ts'oka'an wáaj u beelo'ob	PERSON:3_PL
To'one' ts'oka'an wáaj k beel	Teche' ts'oka'an wáaj a beel	PERSON:2_SI
To'one' ts'oka'an wáaj k beel	Leti'e' ts'oka'an wáaj u beel	PERSON:3_SI
To'one' ts'oka'an wáaj k beel	Te'exe' ts'oka'an wáaj a beele'ex	PERSON:2_PL
To'one' ts'oka'an wáaj k beel	Leti'obe' ts'oka'an wáaj u beelo'ob	PERSON:3_PL
Te'exe' ts'oka'an wáaj a beele'ex	Teche' ts'oka'an wáaj a beel	PERSON:2_SI
Te'exe' ts'oka'an wáaj a beele'ex	Leti'e' ts'oka'an wáaj u beel	PERSON:3_SI
Te'exe' ts'oka'an wáaj a beele'ex	To'one' ts'oka'an wáaj k beel	PERSON:1_PL
Te'exe' ts'oka'an wáaj a beele'ex	Leti'obe' ts'oka'an wáaj u beelo'ob	PERSON:3_PL
Leti'obe' ts'oka'an wáaj u beelo'ob	Teche' ts'oka'an wáaj a beel	PERSON:2_SI
Leti'obe' ts'oka'an wáaj u beelo'ob	Leti'e' ts'oka'an wáaj u beel	PERSON:3_SI
Leti'obe' ts'oka'an wáaj u beelo'ob	To'one' ts'oka'an wáaj k beel	PERSON:1_PL
Leti'obe' ts'oka'an wáaj u beelo'ob	Te'exe' ts'oka'an wáaj a beele'ex	PERSON:2_PL
Teche' áak'ab ka bin merkaado	Leti'e' áak'ab ku bin merkaado	PERSON:3_SI
Teche' áak'ab ka bin merkaado	To'one' áak'ab kek bin merkaado	PERSON:1_PL
Teche' áak'ab ka bin merkaado	Te'exe' áak'ab ka bine'ex merkaado	PERSON:2_PL
Leti'e' áak'ab ku bin merkaado	Teche' áak'ab ka bin merkaado	PERSON:2_SI
Leti'e' áak'ab ku bin merkaado	To'one' áak'ab kek bin merkaado	PERSON:1_PL
Leti'e' áak'ab ku bin merkaado	Te'exe' áak'ab ka bine'ex merkaado	PERSON:2_PL
To'one' áak'ab kek bin merkaado	Teche' áak'ab ka bin merkaado	PERSON:2_SI
To'one' áak'ab kek bin merkaado	Leti'e' áak'ab ku bin merkaado	PERSON:3_SI
To'one' áak'ab kek bin merkaado	Te'exe' áak'ab ka bine'ex merkaado	PERSON:2_PL
Te'exe' áak'ab ka bine'ex merkaado	Teche' áak'ab ka bin merkaado	PERSON:2_SI
Te'exe' áak'ab ka bine'ex merkaado	Leti'e' áak'ab ku bin merkaado	PERSON:3_SI
Te'exe' áak'ab ka bine'ex merkaado	To'one' áak'ab kek bin merkaado	PERSON:1_PL
Teche' áak'ab ka bin tu k'íiwikil koonol	Leti'e' áak'ab ku bin tu k'íiwikil koonol	PERSON:3_SI
Teche' áak'ab ka bin tu k'íiwikil koonol	To'one' áak'ab k bin tu k'íiwikil koonol	PERSON:1_PL
Teche' áak'ab ka bin tu k'íiwikil koonol	Te'exe' áak'ab ka bine'ex tu k'íiwikil koonol	PERSON:2_PL
Leti'e' áak'ab ku bin tu k'íiwikil koonol	Teche' áak'ab ka bin tu k'íiwikil koonol	PERSON:2_SI
Leti'e' áak'ab ku bin tu k'íiwikil koonol	To'one' áak'ab k bin tu k'íiwikil koonol	PERSON:1_PL
Leti'e' áak'ab ku bin tu k'íiwikil koonol	Te'exe' áak'ab ka bine'ex tu k'íiwikil koonol	PERSON:2_PL
To'one' áak'ab k bin tu k'íiwikil koonol	Teche' áak'ab ka bin tu k'íiwikil koonol	PERSON:2_SI
To'one' áak'ab k bin tu k'íiwikil koonol	Leti'e' áak'ab ku bin tu k'íiwikil koonol	PERSON:3_SI
To'one' áak'ab k bin tu k'íiwikil koonol	Te'exe' áak'ab ka bine'ex tu k'íiwikil koonol	PERSON:2_PL
Te'exe' áak'ab ka bine'ex tu k'íiwikil koonol	Teche' áak'ab ka bin tu k'íiwikil koonol	PERSON:2_SI
Te'exe' áak'ab ka bine'ex tu k'íiwikil koonol	Leti'e' áak'ab ku bin tu k'íiwikil koonol	PERSON:3_SI
Te'exe' áak'ab ka bine'ex tu k'íiwikil koonol	To'one' áak'ab k bin tu k'íiwikil koonol	PERSON:1_PL
Tene' áak'ab wáaj kin bin tu k'íiwikil koonol	Tene' ma' áak'ab wáaj kin bin tu k'íiwikil koonoli'	TYPE:NEG;SUBTYPE:INT
Teche' áak'ab wáaj ka bin tu k'íiwikil koonol	Leti'e' áak'ab wáaj ku bin tu k'íiwikil koonol	PERSON:3_SI
Teche' áak'ab wáaj ka bin tu k'íiwikil koonol	To'one' áak'ab wáaj k bin tu k'íiwikil koonol	PERSON:1_PL
Teche' áak'ab wáaj ka bin tu k'íiwikil koonol	Te'exe' áak'ab wáaj ka bine'ex tu k'íiwikil koonol	PERSON:2_PL
Leti'e' áak'ab wáaj ku bin tu k'íiwikil koonol	Teche' áak'ab wáaj ka bin tu k'íiwikil koonol	PERSON:2_SI
Leti'e' áak'ab wáaj ku bin tu k'íiwikil koonol	To'one' áak'ab wáaj k bin tu k'íiwikil koonol	PERSON:1_PL
Leti'e' áak'ab wáaj ku bin tu k'íiwikil koonol	Te'exe' áak'ab wáaj ka bine'ex tu k'íiwikil koonol	PERSON:2_PL
To'one' áak'ab wáaj k bin tu k'íiwikil koonol	Teche' áak'ab wáaj ka bin tu k'íiwikil koonol	PERSON:2_SI
To'one' áak'ab wáaj k bin tu k'íiwikil koonol	Leti'e' áak'ab wáaj ku bin tu k'íiwikil koonol	PERSON:3_SI
To'one' áak'ab wáaj k bin tu k'íiwikil koonol	Te'exe' áak'ab wáaj ka bine'ex tu k'íiwikil koonol	PERSON:2_PL
Te'exe' áak'ab wáaj ka bine'ex tu k'íiwikil koonol	Teche' áak'ab wáaj ka bin tu k'íiwikil koonol	PERSON:2_SI
Te'exe' áak'ab wáaj ka bine'ex tu k'íiwikil koonol	Leti'e' áak'ab wáaj ku bin tu k'íiwikil koonol	PERSON:3_SI
Te'exe' áak'ab wáaj ka bine'ex tu k'íiwikil koonol	To'one' áak'ab wáaj k bin tu k'íiwikil koonol	PERSON:1_PL
Tu kaxtik a najil	Tan k kaxtik a najil	PERSON:1_PL
Tu kaxtik a najil	Táan u kaxtik a najil	PERSON:3_SI
Tu kaxtik a najil	Táan ek kaxtik a najil	PERSON:1_PL
Tu kaxtik a najil	Tu kaxko'ob a najil	PERSON:3_PL
Tu kaxtik a najil	Táan u kaxtiko'ob a naajil	PERSON:3_PL
Tan k kaxtik a najil	Tu kaxtik a najil	PERSON:3_SI
Tan k kaxtik a najil	Táan u kaxtik a najil	PERSON:3_SI
Tan k kaxtik a najil	Táan ek kaxtik a najil	PERSON:1_PL
Tan k kaxtik a najil	Tu kaxko'ob a najil	PERSON:3_PL
Tan k kaxtik a najil	Táan u kaxtiko'ob a naajil	PERSON:3_PL
Táan u kaxtik a najil	Tu kaxtik a najil	PERSON:3_SI
Táan u kaxtik a najil	Tan k kaxtik a najil	PERSON:1_PL
Táan u kaxtik a najil	Táan ek kaxtik a najil	PERSON:1_PL
Táan u kaxtik a najil	Tu kaxko'ob a najil	PERSON:3_PL
Táan u kaxtik a najil	Táan u kaxtiko'ob a naajil	PERSON:3_PL
Táan ek kaxtik a najil	Tu kaxtik a najil	PERSON:3_SI
Táan ek kaxtik a najil	Tan k kaxtik a najil	PERSON:1_PL
Táan ek kaxtik a najil	Táan u kaxtik a najil	PERSON:3_SI
Táan ek kaxtik a najil	Tu kaxko'ob a najil	PERSON:3_PL
Táan ek kaxtik a najil	Táan u kaxtiko'ob a naajil	PERSON:3_PL
Tu kaxko'ob a najil	Tu kaxtik a najil	PERSON:3_SI
Tu kaxko'ob a najil	Tan k kaxtik a najil	PERSON:1_PL
Tu kaxko'ob a najil	Táan u kaxtik a najil	PERSON:3_SI
Tu kaxko'ob a najil	Táan ek kaxtik a najil	PERSON:1_PL
Tu kaxko'ob a najil	Táan u kaxtiko'ob a naajil	PERSON:3_PL
Táan u kaxtiko'ob a naajil	Tu kaxtik a najil	PERSON:3_SI
Táan u kaxtiko'ob a naajil	Tan k kaxtik a najil	PERSON:1_PL
Táan u kaxtiko'ob a naajil	Táan u kaxtik a najil	PERSON:3_SI
Táan u kaxtiko'ob a naajil	Táan ek kaxtik a najil	PERSON:1_PL
