Source	Target	Change
Táan wáaj u bin koonol tu k'íiwikil koonol	Táan wáaj k bin koonol tu k'íiwikil koonol	PERSON:1_PL
Ma' táan k bin koonol merkaadoi'	Ma' táan a bin koonol merkaadoi'	PERSON:2_SI
Ma' táan a bine'ex koonol tu k'íiwikil koonol	Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Ook'in a bine'ex k'íiwikil koonol	Ook'in a bin tu k'íiwikil koonol	PERSON:2_SI
Ta konaj a wotoch	Ta konaj a wotoch	NOCHANGE
Leti'e' u k'aaba'e'	Leti'e' u k'aaba'e'	NOCHANGE
Yaan a jochike'ex chak nal ta koole'ex	Yaan a jochik chak nal ta kool	PERSON:2_SI
Tan k kaxtik a najil	Táan u kaxtik a najil	PERSON:3_SI
Tu'ux kajakbale'ex	Tu'ux kajakbale'ex	NOCHANGE
Te'exe' ma' jbúule'exi'	Leti'e' ma' jbúuli'	PERSON:3_SI
To'one' jbúulo'on wáaj	To'one' jbúulo'on wáaj	NOCHANGE
Ma' k'aja'ante'ex buka'aj a ja'abile'exi'	Ma' k'aja'antech buka'aj a ja'abili'	PERSON:2_SI
To'one' ti' k taali'	To'one' ti' k taali'	NOCHANGE
Teche' áak'ab ka bin tu k'íiwikil koonol	To'one' áak'ab k bin tu k'íiwikil koonol	PERSON:1_PL
Ma' ts'oka'an a beele'exi'	Ma' ts'oka'an u beelo'obi'	PERSON:3_PL
Ma' ta wile'ex u sáastal ta kaajale'exi'	Ma' tu yilaj u sáastal tu kaajali'	PERSON:3_SI
Ts'o'ok in suut koonol merkaado	Ts'o'ok in suut koonol merkaado	NOCHANGE
To'one kek bin páak ich kool	To'one kek bin páak ich kool	NOCHANGE
Teche' ma' jbúulechi'	Teche' ma' jbúulechi'	NOCHANGE
óok'otnajech tu naajil xook	óok'otnajo'on tu naajil xook	PERSON:1_PL
Ma' táan u bino'ob koonol tu k'íiwikil koonol	Ma' táan u bino'ob koonol tu k'íiwikil koonol	PERSON:3_PL
To'one' áak'ab k bin tu k'íiwikil koonol	To'one' áak'ab k bin tu k'íiwikil koonol	NOCHANGE
Ma' kajakbalo'on tin wotochi'	Ma' kajakbal tin wotochi'	PERSON:3_SI
Táan a meyaje'ex ich kool	Táan u meyajo'ob ich kool	PERSON:3_PL
Kin jóok'ol wáaj koonol tu k'íiwikil koonol	Suuk wáaj in jóok'ol koonol tu k'íiwikil koonol	ASPECT:CUS;TENSE:PRE_SIM
Yaan k báaxal tu naajil báaxal	Yaan a báaxale'ex báaxal tu naajil báaxal	PERSON:2_PL
Táan u bin koonol merkaado	Táan a bin koonol merkaado	PERSON:2_SI
Tan u k'íilkabo'ob	Tan u k'íilkabo'ob	NOCHANGE
Ma' kajakbale'ex tin wotochi'	Mix leti'ob kajakbalo'ob ta wotoch	PERSON:3_PL
K'a'abéet in manik suuts' pak'áal tu k'íiwikil koonol	Ts'o'ok in manik janal tu k'íiwikil koonol	ASPECT:TER;TENSE:PAS_SIM
Je'el in bin koonol tu k'íiwikil koonole'	Ts'o'ok in bin koonol tu k'íiwikil koonol	ASPECT:TER;TENSE:PAS_SIM
Tene' kin bin páak ich kool	Tene' kin bin páak ich kool	NOCHANGE
Tene' áak'ab kin bin merkaado	Tene' áak'ab kin bin merkaado	NOCHANGE
Táan wáaj a bine'ex koonol tu k'íiwikil koonol	Táan wáaj u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Táan k báaxal tu naajil báaxal	Táan a báaxal tu naajil báaxal	PERSON:2_SI
Yaan a báaxale'ex báaxal tu naajil báaxal	Yaan a báaxal tu naajil báaxal	PERSON:2_SI
Kin in suut koonol merkaado	Yaan in suut koonol merkaado	ASPECT:COM
Táan a xook tu naajil xook	Táan k xook tu naajil xook	PERSON:1_PL
Tin manaj u k'áaxil uti'al in beetik in kool	Tin manaj u k'áaxil uti'al in beetik in kool	NOCHANGE
Leti'e' ts'oka'an wáaj u beel	Teche' ts'oka'an wáaj a beel	PERSON:2_SI
Ook'in in bin ich kool	Ook'in in bin ich kool	NOCHANGE
Te'exe' a jatsmajaba'ex	Leti'obe' u jatsmajuba'ob	PERSON:3_PL
Ma' u ya'aliko'ob u k'aaba'	Ma' a wa'alike'ex u k'aaba'	PERSON:2_PL
Te' u taal tu kaajil Kopomae'	Te' a taal tu kaajil Kopomae'	PERSON:2_SI
Leti'e' múul kajakbal tek éetel wáaj	Leti'e' múul kajakbal tek éetel wáaj	NOCHANGE
Táan a xook tu naajil xook	Táan a xook tu naajil xook	NOCHANGE
Leti'e' yaan xook ti' español	Teche' Yaan tech xook ti' español	PERSON:2_SI
Ma' taak in bin maan tu k'íiwikil koonoli'	Ma' taak in bin maan tu k'íiwikil koonoli'	NOCHANGE
Tene' Yaan ten meyaj biología	Tene' Yaan ten meyaj biología	NOCHANGE
Ma' jach k'a'abéet in bin ich kooli'	Ma' jach k'a'abéet in bin ich kooli'	NOCHANGE
Ma' táan u bino'ob koonol tu k'íiwikil koonol	Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Ma' kajakbalo'on tin wotochi'	Ma' kajakbalo'ob tin wotochi'	PERSON:3_PL
Tene' ts'oka'an wáaj in beel	Tene' ts'oka'an wáaj in beel	NOCHANGE
Táan a xook tu naajil xook	Táan u xooko'ob tu naajil xook	PERSON:3_PL
Yaan u suut tu naajil xook	Yaan a suute'ex xook tu naajil xook	PERSON:2_PL
Ma' tak ilaj u sáastal k kaajali'	Ma' tak ilaj u sáastal k kaajali'	NOCHANGE
Ta wilaj wáaj u sáastal ta kaajal	Ta wilaj wáaj u sáastal ta kaajal	NOCHANGE
Ta'aytak u chukiko'ob u ja'abil	Ta'aytak a chukike'ex u ja'abil	PERSON:2_PL
Tu'ux kajakbalen	Tu'ux kajakbalen	NOCHANGE
Yaan wáaj u bin koonol merkaado	Yaan wáaj k bin koonol merkaado	PERSON:1_PL
Kin in suut koonol merkaado	Kin in suut koonol merkaado	NOCHANGE
Ma' táan u bino'ob koonol tu k'íiwikil koonol	Ma' táan u bino'ob koonol tu k'íiwikil koonol	NOCHANGE
Te'exe' táan a bine'ex koonol tu k'íiwikil koonol	Táan u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Yaan wáaj ek bin ich kool	Yaan wáaj u bin ich kool	PERSON:3_SI
Táant in suut koonol merkaadoe'	Káaj in suut koonol merkaado	ASPECT:BEG;TENSE:PAS_SIM
Tin manaj in najil	Tin manaj in najil	NOCHANGE
Ma' a wa'alike'ex u k'aaba'	Ma' a wa'alike'ex u k'aaba'	NOCHANGE
Ma k'aja'anten buka'aj in ja'abili'	Ma k'aja'anten buka'aj in ja'abili'	NOCHANGE
Ma' ta wu'uyike'ex ooxoli'	Ma' tu yu'ubik ooxoli'	PERSON:3_SI
Ts'o'ok in manik janal tu k'íiwikil koonol	Táant in manik ch'ujuk pak'áal tu k'íiwikil koonole'	ASPECT:IMM;TENSE:PAS_SIM
Ts'oka'an wáaj a beele'ex	Ts'oka'an wáaj u beel	PERSON:3_SI
Yaan wáaj a bin koonol tu k'íiwikil koonol	Yaan wáaj a bine'ex koonol tu k'íiwikil koonol	PERSON:2_PL
Yaan u boono'ob tu naajil xook	Yaan a boone'ex xook tu naajil xook	PERSON:2_PL
Jach k'a'abéet wáaj a bine'ex tu k'íiwikil koonol	Jach k'a'abéet wáaj u bino'ob tu k'íiwikil koonol	PERSON:3_PL
Ma' múulkajakbal tin wéetelo'oni'	Ma' múulkajakbal tin wéetelo'oni'	NOCHANGE
Yaan wáaj k xook tu naajil xook	Yaan wáaj k xook tu naajil xook	NOCHANGE
Tene' kin báaxal paarkée	Tene' kin báaxal paarkée	NOCHANGE
Leti'e' u jatsmajubáaj	Teche' a jatsmajabáaj	PERSON:2_SI
Yaan wáaj k bin koonol tu k'íiwikil koonol	Yaan wáaj u bino'ob koonol tu k'íiwikil koonol	PERSON:3_PL
Leti'e' áak'ab wáaj ku bin tu k'íiwikil koonol	Teche' áak'ab wáaj ka bin tu k'íiwikil koonol	PERSON:2_SI
Ma' tan u k'íilkabi'	Ma' tan u k'íilkabi'	NOCHANGE
Táan wáaj u bino'ob ich kool	Táan wáaj a bine'ex ich kool	PERSON:2_PL
Táan in bin ich kool	Táan in bin ich kool	NOCHANGE
Táan wáaj u boon tu naajil xook	Táan wáaj k boon tu naajil xook	PERSON:1_PL
Leti'o'obe' ku yu'ubiko'ob ooxol	ku yu'ubik wáaj ooxol	PERSON:3_SI
Leti'e' áak'ab wáaj ku bin merkaado	To'one' áak'ab wáaj kek bin merkaado	PERSON:1_PL
Leti'e' ku bin páak ich kool	To'one kek bin páak ich kool	PERSON:1_PL
Te'exe' yaante'ex wáaj meyaj ti' biología	Leti'e' yaan wáaj meyaj ti' biología	PERSON:3_SI
Teche' jbúulech	Teche' jbúulech	NOCHANGE
Ma' tek u'uyik wáaj ooxoli'	Ma' tek u'uyik wáaj ooxoli'	NOCHANGE
Leti'o'obe' ku yu'ubiko'ob ooxol	Te'exe' ka wu'uyike'ex wáaj ooxol	PERSON:2_PL
Yaan in manik ya'abach ba'alob tu k'íiwikil koonol	Suuk in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:CUS
Yaan wáaj u bino'ob koonol tu k'íiwikil koonol	Yaan wáaj a bine'ex koonol tu k'íiwikil koonol	PERSON:2_PL
Leti'e' yaan u áanalte'il u xook matemáticas	Te'exe' yaante'ex u áanalte'il u xookil matemáticas	PERSON:2_PL
Ma' táan a bin ich kooli'	Ma' táan a bine'ex ich kooli'	PERSON:2_PL
Ma' k a'alik u k'aaba'	Ma' u ya'aliko'ob u k'aaba'	PERSON:3_PL
Ba'ax ja'abil jsíije'ex	Ba'ax ja'abil jsíije'ex	NOCHANGE
Ma' tak ilaj u sáastal k kaajali'	Ma' tu yilaj u sáastal tu kaajali'	PERSON:3_SI
Yaan u báaxal tu naajil báaxal	Yaan u báaxalo'ob tu naajil báaxal	PERSON:3_PL
k'aaynajo'ob tu naajil xook	K'aaynajech tu naajil xook	PERSON:2_SI
Leti'e' yaan u áanalte'il u xook matemáticas	To'onen yaanto'on u áanalte'il k xook matemáticas	PERSON:1_PL
Yaan wáaj u bino'ob koonol merkaado	Yaan wáaj a bin koonol merkaado	PERSON:2_SI
Táan k bin koonol tu k'íiwikil koonol	Táan k bin koonol tu k'íiwikil koonol	NOCHANGE
Táan wáaj u bin koonol tu k'íiwikil koonol	Táan wáaj a bine'ex koonol tu k'íiwikil koonol	PERSON:2_PL
A wojel tu'ux u taal	A wojel tu'ux u taal	NOCHANGE
Táan wáaj a bin ich kool	Táan wáaj a bin ich kool	NOCHANGE
Yaan k suut tu naajil xook	Yaan k suut tu naajil xook	NOCHANGE
Ma' wáaj jach k'a'abéet u bin merkaadoi'	Ma' wáaj jach k'a'abéet u bin merkaadoi'	NOCHANGE
Te'exe' kajakbale'ex weye'	To'one' kajakbalo'on weye'	PERSON:1_PL
Yaan wáaj k bin koonol tu k'íiwikil koonol	Yaan wáaj u bino'ob koonol tu k'íiwikil koonol	PERSON:3_PL
Ts'oka'an wáaj a beele'ex	Ts'oka'an wáaj u beelo'ob	PERSON:3_PL
Jach k'a'abéet u bin tu k'íiwikil koonol	Jach k'a'abéet in bin tu k'íiwikil koonol	PERSON:1_SI
Káaj in suut koonol merkaado	Táant in suut koonol merkaadoe'	ASPECT:IMM;TENSE:PAS_SIM
To'one' ajkoonolo'on ichil merkaado	Leti'e' ajkoonol ichil merkaado	PERSON:3_SI
Leti'obe' ti' u taalo'obi'	To'one' ti' k taali'	PERSON:1_PL
Ma' a wa'alike'ex u k'aaba'	Ma' k a'alik u k'aaba'	PERSON:1_PL
Teche' kajakbalech weye'	To'one' kajakbalo'on weye'	PERSON:1_PL
Tene' wáaj áak'ab kin bin merkaado	Tene' wáaj áak'ab kin bin merkaado	NOCHANGE
óok'otnajo'on tu naajil xook	óok'otnajech tu naajil xook	PERSON:2_SI
J-jaanen merkaado	J-jaanen merkaado	NOCHANGE
Yaan wáaj u bin ich kool	Yaan wáaj a bine'ex ich kool	PERSON:2_PL
Táan k báaxal tu naajil báaxal	Táan u báaxal tu naajil báaxal	PERSON:3_SI
To'one' in k'aaba'one'	To'one' in k'aaba'one'	NOCHANGE
Ma' jach k'a'abéet wáaj u bin tu k'íiwikil koonoli'	Ma' jach k'a'abéet wáaj a bine'ex k'íiwikil koonoli'	PERSON:2_PL
Ta'aytak u chukiko'ob u ja'abil	Ta'aytak k chukik u ja'abil	PERSON:1_PL
Ba'atelnajech te' tu kúuchil báaxalo'	Ba'atelnaje'ex te' tu kúuchil báaxalo'	PERSON:2_PL
ka ts'íibe'ex tu naajil xook	ka ts'íib tu naajil xook	PERSON:2_SI
To'one' áak'ab k bin tu k'íiwikil koonol	Te'exe' áak'ab ka bine'ex tu k'íiwikil koonol	PERSON:2_PL
Teche' Yaan tech u áanalte'il a xook matemáticas	Te'exe' yaante'ex u áanalte'il u xookil matemáticas	PERSON:2_PL
Táan wáaj u boono'ob tu naajil xook	Táan wáaj u boon tu naajil xook	PERSON:3_SI
Máax yéetel táant a bin koonol tu kúuchil báaxale'	Máax yéetel táant a bin koonol tu kúuchil báaxale'	NOCHANGE
Táan u xooko'ob tu naajil xook	Táan a xook tu naajil xook	PERSON:2_SI
Táan wáaj a bine'ex ich kool	Táan wáaj ek bin ich kool	PERSON:1_PL
Yaan a suut tu naajil xook	Yaan a suute'ex xook tu naajil xook	PERSON:2_PL
ku yu'ubik wáaj ooxol	Te'exe' ka wu'uyike'ex wáaj ooxol	PERSON:2_PL
Ma' tu yu'ubiko'ob ooxoli'	Ma' ta wu'uyike'ex ooxoli'	PERSON:2_PL
Yaan a xooke'ex xook tu naajil xook	Yaan a xooke'ex xook tu naajil xook	NOCHANGE
Leti'obe' táan u bino'ob koonol tu k'íiwikil koonol	Táan u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Ma' u yojel u ja'abili'	Ma' a wojel u ja'abili'	PERSON:2_SI
Leti'e' ma' wáaj áak'ab ku bin merkaadoi'	Leti'e' ma' wáaj áak'ab ku bin merkaadoi'	NOCHANGE
Ma' káaj in bin maan tu k'íiwikil koonoli'	Ma' káaj in bin maan tu k'íiwikil koonoli'	NOCHANGE
Ma' tan in k'íilkabi'	Ma' tan in k'íilkabi'	NOCHANGE
Ta manaj a wotoch	Ta manaj a wotoch	NOCHANGE
Máax yéetel je'el a bin koonol tu kúuchil báaxale'	Máax yéetel taak a bin koonol tu kúuchil báaxal	SUBTYPE:DEC;ASPECT:DES
Te'exe' ti' kajakbale'ex tu yotoche'	Leti'e' ti' kajakbal tu yotoche'	PERSON:3_SI
Ta'aytak a chukik u ja'abil	Ta'aytak u chukiko'ob u ja'abil	PERSON:3_PL
Táant in suut koonol merkaadoe'	Ts'o'ok in suut koonol merkaado	ASPECT:TER;TENSE:PAS_SIM
Yaan in suut koonol merkaado	Kin in suut koonol merkaado	ASPECT:HAB
Táan a báaxal tu naajil báaxal	Táan a báaxal tu naajil báaxal	NOCHANGE
Táan k boon tu naajil xook	Táan k boon tu naajil xook	NOCHANGE
Yaan k suut tu naajil xook	Yaan a suut tu naajil xook	PERSON:2_SI
Táan wáaj u xook tu naajil xook	Táan wáaj a xooke'ex xook tu naajil xook	PERSON:2_PL
te'exe' ka báaxale'ex tu naajil xook	te'exe' ka báaxale'ex tu naajil xook	NOCHANGE
Leti'o'obe' bino'ob áalkab te' taam paarkéeo'	To'one' bino'on áalkab te' taam paarkéeo'	PERSON:1_PL
Ma' k ojel u ja'abili'	Ma' a wojel u ja'abili'	PERSON:2_SI
Yaan wáaj u bin koonol tu k'íiwikil koonol	Yaan wáaj u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Tu'ux k'íiwikil koonol taak a jóok'ol koonol	Tu'ux k'íiwikil koonol k'a'abéet a jóok'ol koonol	ASPECT:OBL
Yaan wáaj u bino'ob koonol tu k'íiwikil koonol	Yaan wáaj a bin koonol tu k'íiwikil koonol	PERSON:2_SI
Táan in manik ya'abach ba'alob tu k'íiwikil koonol	Taak in manik ya'abach ba'alo'ob tu k'íiwikil koonol	ASPECT:DES
Ki'imak u yóolo'ob u bino'ob merkaado	Ki'imak u yóolo'ob u bino'ob merkaado	NOCHANGE
Táan u bino'ob koonol merkaado	Táan u bin koonol merkaado	PERSON:3_SI
Tu núukaj buka'aj u ja'abil	Tu núukaj buka'aj u ja'abil	NOCHANGE
Ma' táan u bin ich kooli'	Ma' táan a bine'ex ich kooli'	PERSON:2_PL
Ts'oka'an wáaj u beelo'ob	Ts'oka'an wáaj u beel	PERSON:3_SI
Máax yéetel je'el a bin koonol tu kúuchil báaxale'	Máax yéetel je'el a bin koonol tu kúuchil báaxale'	NOCHANGE
Leti'e' kajakbal weye'	Leti'obe' kajakbalo'ob weye'	PERSON:3_PL
Ma' u ya'aliko'ob u k'aaba'	Ma' u ya'alik u k'aaba'	PERSON:3_SI
Ma' jach k'a'abéet wáaj a bine'ex k'íiwikil koonoli'	Ma' jach k'a'abéet wáaj a bine'ex k'íiwikil koonoli'	NOCHANGE
Mix leti' kajakbal ta wotoch	Mix te'ex kajakbale'ex ta wotoch	PERSON:2_PL
Ma' táan u bino'ob koonol tu k'íiwikil koonol	Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Jach k'a'abéet u bino'ob merkaado	Jach k'a'abéet a bine'ex merkaado	PERSON:2_PL
Mix leti'ob kajakbalo'ob ta wotoch	Mix to'on kajakbalo'on ta wotoch	PERSON:1_PL
Ts'oka'an wáaj u beel	Ts'oka'an wáaj k beel	PERSON:1_PL
Jbinech yéetel a éetailo'ob merkaado	Jbine'ex yéetel a éetailo'ob merkaado	PERSON:2_PL
Táan in xook tu naajil xook	Táan in xook tu naajil xook	NOCHANGE
Te'exe' ma' wáaj áak'ab ka bine'ex merkaadoi'	Leti'e' ma' wáaj áak'ab ku bin merkaadoi'	PERSON:3_SI
Teche' ma' ta bin xíimbal tu yotochi'	Teche' ma' ta bin xíimbal tu yotochi'	NOCHANGE
Leti'obe' u jatsmajuba'ob	To'one' k jatsmajekbáaj	PERSON:1_PL
Ma' táan a bin koonol tu k'íiwikil koonol	Ma' táan u bino'ob koonol tu k'íiwikil koonol	PERSON:3_PL
Yaan u suuto'ob tu naajil xook	Yaan a suute'ex xook tu naajil xook	PERSON:2_PL
Tan k k'íilkab	Tan u k'íilkabo'ob	PERSON:3_PL
Jayp'éel k'iino'ob ku bin tu k'íiwikil koonol	Jayp'éel k'iino'ob ku bin tu k'íiwikil koonol	NOCHANGE
Ma' kajakbalo'on tin wotochi'	Ma' kajakbalech tin wotochi'	PERSON:2_SI
Te'exe' yaante'ex meyaj biología	To'onen yaanto'on meyaj biología	PERSON:1_PL
Tu'ux k'íiwikil koonol yaan a jóok'ol koonol	Tu'ux k'íiwikil koonol yaan a jóok'ol koonol	NOCHANGE
Ma' ta wu'uyik  wáaj ooxoli'	Ka wu'uyik wáaj ooxol	TYPE:AFF;SUBTYPE:INT
Te'exe' ka bine'ex páak tu kool	Leti'e' ku bin páak ich kool	PERSON:3_SI
leti'e ku báaxal tu naajil xook	to'one' k báaxal tu naajil xook	PERSON:1_PL
Leti'e' ku bin páak ich kool	Teche' ka bin páak ich kool	PERSON:2_SI
To'onen yaanto'on wáaj meyaj ti' biología	Te'exe' yaante'ex wáaj meyaj ti' biología	PERSON:2_PL
Ta'aytak a chukike'ex u ja'abil	Ta'aytak u chukik u ja'abil	PERSON:3_SI
Te' k taal tu kaajil Kopomae'	Te' a taal tu kaajil Kopomae'	PERSON:2_SI
Jach k'a'abéet in bin ich kool	Jach k'a'abéet in bin ich kool	NOCHANGE
Taak in suut koonol merkaado	Suuk in suut koonol merkaado	ASPECT:CUS
Táan k bin koonol tu k'íiwikil koonol	Leti'obe' táan u bino'ob koonol tu k'íiwikil koonol	PERSON:3_PL
Táan u meyajo'ob ich kool	Táan a meyaj ich kool	PERSON:2_SI
Jbinech wáaj xook te' tu kúuchil báaxalo'	Jbinech wáaj xook te' tu kúuchil báaxalo'	NOCHANGE
Ma' táan u bino'ob ich kooli'	Ma' táan u bino'ob ich kooli'	NOCHANGE
To'one' ajkoonolo'on ichil merkaado	To'one' ajkoonolo'on ichil merkaado	NOCHANGE
Tu yilo'ob wáaj u sáastal tu kaajalo'ob	k ilaj wáaj u sáastal k kaajal	PERSON:1_PL
Ma' jach k'a'abéet u bin tu kooli'	Ma' jach k'a'abéet u bin tu kooli'	NOCHANGE
To'one' kek bin paak'áal ich kool	Leti'e' ku bin paak'áal ich kool	PERSON:3_SI
Ma' ta wile'ex u sáastal ta kaajale'exi'	Ma' ta wilaj u sáastal ta kaajali'	PERSON:2_SI
Ma' a wojele'ex u ja'abili'	Ma' a wojele'ex u ja'abili'	NOCHANGE
te'exe' ka báaxale'ex tu naajil xook	Teche' ka báaxal tu naajil xook	PERSON:2_SI
Táan wáaj u báaxal tu naajil báaxal	Táan wáaj u báaxalo'ob tu naajil báaxal	PERSON:3_PL
Jbinech yéetel a éetailo'ob tu k'íiwikil koonol	Leti'obe' jbino'ob yéetel u éetailo'ob tu k'íiwikil koonol	PERSON:3_PL
Leti'e' yaan meyaj ti' biología	To'onen yaanto'on meyaj biología	PERSON:1_PL
Te'exe' áak'ab ka bine'ex tu k'íiwikil koonol	Te'exe' áak'ab ka bine'ex tu k'íiwikil koonol	NOCHANGE
ku yu'ubik wáaj ooxol	Leti'o'obe' ku yu'ubiko'ob ooxol	PERSON:3_PL
Jach wáaj k'a'abéet u bin merkaado	Jach wáaj k'a'abéet in bin merkaado	PERSON:1_SI
Leti'obe' kajakbalo'ob weye'	Leti'e' kajakbal weye'	PERSON:3_SI
Jach k'a'abéet wáaj u bino'ob tu k'íiwikil koonol	Jach k'a'abéet wáaj u bino'ob tu k'íiwikil koonol	NOCHANGE
Te'exe' ajkoonole'ex	Leti'e' ajkoonol	PERSON:3_SI
Táan in manik ya'abach ba'alob tu k'íiwikil koonol	Je'el in manik ya'abach ba'alob tu k'íiwikil koonole'	ASPECT:INS
Yaan in k'a'aytik ch'ujuko'ob tu k'íiwikil koonol	Yaan in k'a'aytik ch'ujuko'ob tu k'íiwikil koonol	NOCHANGE
Te'exe' yaante'ex wáaj meyaj ti' biología	To'onen yaanto'on wáaj meyaj ti' biología	PERSON:1_PL
Ts'oka'an wáaj u beelo'ob	Ts'oka'an wáaj a beele'ex	PERSON:3_PL
Jach k'a'abéet a bine'ex merkaado	Jach k'a'abéet a bine'ex merkaado	NOCHANGE
To'one' jbúulo'on	To'one' jbúulo'on	NOCHANGE
Jbinech yéetel a éetailo'ob janal ich kool	Jbinech yéetel a éetailo'ob janal ich kool	NOCHANGE
Leti'e' ku bin paak'áal ich kool	Teche' ka bin paak'áal ich kool	PERSON:2_SI
Táant in wilikech te' tu kúuchil báaxalo'	Táant in wilikech te' tu kúuchil báaxalo'	NOCHANGE
Leti'o'obe' ku yu'ubiko'ob ooxol	To'one' k u'uyik wáaj ooxol	PERSON:1_PL
To'one' kek bin xíimbal ta wotoch	Leti'e' ku bin xíimbal ta wotoch	PERSON:3_SI
Sáansamal ka bine'ex merkaado	Sáansamal ka bin merkaado	PERSON:2_SI
Ma' wáaj jach k'a'abéet u bin tu kooli'	Ma' wáaj jach k'a'abéet u bin tu kooli'	NOCHANGE
Ma' suuk in bin maan tu k'íiwikil koonoli'	Ma' taak in bin maan tu k'íiwikil koonoli'	ASPECT:DES
Yaan in jaantik ch'ujuko'ob tu k'íiwikil koonol	Yaan in bisik ch'ujuko'ob tu k'íiwikil koonol	MARK:S
To'one' ma' wáaj áak'ab kek bin merkaadoi'	To'one' ma' wáaj áak'ab kek bin merkaadoi'	NOCHANGE
Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	Ma' táan u bino'ob koonol tu k'íiwikil koonol	PERSON:3_PL
Táan wáaj k bin koonol merkaado	Táan wáaj k bin koonol merkaado	NOCHANGE
Yaan in manik ya'abach ba'alob tu k'íiwikil koonol	Ts'o'ok in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:TER;TENSE:PAS_SIM
Táan u bino'ob koonol merkaado	Táan k bin koonol merkaado	PERSON:1_PL
Táan wáaj ek bin ich kool	Táan wáaj u bino'ob ich kool	PERSON:3_PL
Ba'ax k'iin a bin ich kool	Ba'ax k'iin a bin ich kool	NOCHANGE
Yaan in k'a'aytik ch'ujuko'ob tu k'íiwikil koonol	Yaan in jaantik ch'ujuko'ob tu k'íiwikil koonol	MARK:T
Ta meentik janal ich kool	Ta meentik janal ich kool	NOCHANGE
Táan in boon tu naajil xook	Táan in boon tu naajil xook	NOCHANGE
Tene' Yaan ten xook ti' español	Tene' Yaan ten xook ti' español	NOCHANGE
Ma' tan u k'íilkabi'	Ma' tan a k'íilkabe'exi'	PERSON:2_PL
Jbine'ex yéetel a éetailo'ob merkaado	Jbino'ob yéetel u éetailo'ob merkaado	PERSON:3_PL
Ki'imak a wóol a bin tu k'íiwikil koonol	Ki'imak a wóol a bin tu k'íiwikil koonol	NOCHANGE
Mix to'on kajakbalo'on ta wotoch	Mix te'ex kajakbale'ex ta wotoch	PERSON:2_PL
To'one' ma' wáaj áak'ab kek bin merkaadoi'	Leti'e' ma' wáaj áak'ab ku bin merkaadoi'	PERSON:3_SI
Táan k bin koonol merkaado	Táan k bin koonol merkaado	NOCHANGE
Múul kajakbal tu yéetel	Múul kajakbal tu yéetel	NOCHANGE
Ma' ts'oka'an u beeli'	Ma' ts'oka'an u beeli'	NOCHANGE
Yaan ek jochik chak nal tek kool	Yaan ek jochik chak nal tek kool	NOCHANGE
Yaan u suuto'ob tu naajil xook	Yaan a suut tu naajil xook	PERSON:2_SI
To'one' áak'ab wáaj k bin tu k'íiwikil koonol	Te'exe' áak'ab wáaj ka bine'ex tu k'íiwikil koonol	PERSON:2_PL
Ma' tu yilaj u sáastal tu kaajali'	Ma' tak ilaj u sáastal k kaajali'	PERSON:1_PL
Yaan wáaj k bin koonol tu k'íiwikil koonol	Yaan wáaj a bin koonol tu k'íiwikil koonol	PERSON:2_SI
Teche' áak'ab ka bin tu k'íiwikil koonol	Leti'e' áak'ab ku bin tu k'íiwikil koonol	PERSON:3_SI
Tin wáaj konaj u k'áaxil in kool	Tin wáaj konaj u k'áaxil in kool	NOCHANGE
Sáansamal ku bino'ob merkaado	Sáansamal ka bin merkaado	PERSON:2_SI
Táan a suute'ex xook tu naajil xook	Táan a suute'ex xook tu naajil xook	NOCHANGE
Te'exe' ka bine'ex páak tu kool	To'one kek bin páak ich kool	PERSON:1_PL
Te' a taal tu kaajil Kopomae'	Te' u taalo'ob tu kaajil Kopomae'	PERSON:3_PL
Káaj in bin koonol tu k'íiwikil koonol	Táant in bin koonol tu k'íiwikil koonole'	ASPECT:IMM
Tene' kin pak'ik nal tin kool	Tene' kin pak'ik nal tin kool	NOCHANGE
To'one' k báaxal paarkée	Leti'obe' ku báaxalo'ob paarkée	PERSON:3_PL
Leti'obe' kajakbalo'ob weye'	Teche' kajakbalech weye'	PERSON:2_SI
Te'exe' yaante'ex xook ti' español	Leti'e' yaan xook ti' español	PERSON:3_SI
Ma' tu yu'ubiko'ob ooxoli'	Ma' ta wu'uyike'ex ooxoli'	PERSON:2_PL
Táan u xooko'ob tu naajil xook	Táan u xooko'ob tu naajil xook	NOCHANGE
K'aaynajech tu naajil xook	K'aaynajech tu naajil xook	NOCHANGE
Yaan k boon tu naajil xook	Yaan a boon tu naajil xook	PERSON:2_SI
Ka wiliken merkaado	Kin wilike'ex merkaado	PERSON:1_PL
